new-dashboard-data-google
1 de Janeiro de 2022 - 20 de Junho de 2022
Campanha,Tipo de campanha,Dia,Cidade (local geográfico),Região (local geográfico),Código da moeda,Cliques,Impr.,CTR,CPC médio,Custo,Conversões,Custo / conv.,Taxa de conv.
[download]Manutencao_Marketing_geral,App,2022-04-17,Vinhedo,São Paulo,BRL,0,11,"0,00%", --,"0,00","0,00", --,0
[download]Manutencao_Marketing_geral,App,2022-01-22,Igarassu,Pernambuco,BRL,1,74,"1,35%","0,33","0,33","1,00","0,33","25,00%"
[download]Manutencao_Marketing_geral,App,2022-06-16,Propriá,Sergipe,BRL,2,73,"2,74%","0,16","0,32","1,00","0,32","50,00%"
[download]Manutencao_Marketing_geral,App,2022-01-09,Garanhuns,Pernambuco,BRL,3,30,"10,00%","1,32","3,95","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-03-18,Surubim,Pernambuco,BRL,0,81,"0,00%", --,"0,01","0,00", --,0
[download]Manutencao_Marketing_geral,App,2022-05-10,Santo Antônio de Jesus,Bahia,BRL,7,184,"3,80%","0,12","0,81","7,00","0,12","100,00%"
[download]Manutencao_Marketing_geral,App,2022-01-20,Itapevi,São Paulo,BRL,1,39,"2,56%","0,22","0,22","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-01-24,Guarabira,Paraíba,BRL,2,48,"4,17%","0,22","0,44","2,00","0,22","100,00%"
[download]Manutencao_Marketing_geral,App,2022-01-25,Rio Largo,Alagoas,BRL,2,65,"3,08%","0,08","0,16","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-30,Toritama,Pernambuco,BRL,1,19,"5,26%","0,07","0,07","1,00","0,07","100,00%"
[download]Manutencao_Marketing_geral,App,2022-02-11,Simão Dias,Sergipe,BRL,1,12,"8,33%","4,06","4,06","2,00","2,03","100,00%"
[download]Manutencao_Marketing_geral,App,2022-04-01,Salto de Pirapora,São Paulo,BRL,4,27,"14,81%","0,13","0,51","2,00","0,25","40,00%"
[download]Manutencao_Marketing_geral,App,2022-05-14,Mococa,São Paulo,BRL,3,75,"4,00%","0,19","0,58","2,00","0,29","50,00%"
[download]Manutencao_Marketing_geral,App,2022-04-02,Salgueiro,Pernambuco,BRL,2,168,"1,19%","1,05","2,09","6,00","0,35","9,84%"
[download]Manutencao_Marketing_geral,App,2022-03-12,Paulista,Pernambuco,BRL,8,436,"1,83%","0,24","1,93","5,00","0,39","26,32%"
[download]Manutencao_Marketing_geral,App,2022-04-15,Mococa,São Paulo,BRL,2,39,"5,13%","0,32","0,64","3,00","0,21","50,00%"
[download]Manutencao_Marketing_geral,App,2022-01-19,Embu das Artes,São Paulo,BRL,2,102,"1,96%","0,40","0,79","1,00","0,79","50,00%"
[download]Manutencao_Marketing_geral,App,2022-05-14,Leme,São Paulo,BRL,0,87,"0,00%", --,"0,00","0,00", --,0
[download]Manutencao_Marketing_geral,App,2022-05-29,Juazeiro,Bahia,BRL,9,201,"4,48%","0,17","1,55","5,00","0,31","55,56%"
[download]Manutencao_Marketing_geral,App,2022-04-06,São Miguel dos Campos,Alagoas,BRL,0,41,"0,00%", --,"0,01","0,00", --,0
[download]Manutencao_Marketing_geral,App,2022-02-14,Garanhuns,Pernambuco,BRL,1,140,"0,71%","1,12","1,12","1,00","1,12","50,00%"
[download]Manutencao_Marketing_geral,App,2022-03-02,Vinhedo,São Paulo,BRL,0,75,"0,00%", --,"0,00","0,00", --,0
[download]Manutencao_Marketing_geral,App,2022-04-02,Iguatu,Ceará,BRL,6,239,"2,51%","0,42","2,52","5,00","0,50","7,58%"
[download]Manutencao_Marketing_geral,App,2022-02-10,Salto de Pirapora,São Paulo,BRL,1,133,"0,75%","2,67","2,67","1,00","2,67","33,33%"
[download]Manutencao_Marketing_geral,App,2022-02-15,Leme,São Paulo,BRL,0,48,"0,00%", --,"0,06","0,00", --,0
[download]Manutencao_Marketing_geral,App,2022-01-07,Salgueiro,Pernambuco,BRL,0,22,"0,00%", --,"0,44","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-06,Salgueiro,Pernambuco,BRL,8,78,"10,26%","0,11","0,86","5,00","0,17","62,50%"
[download]Manutencao_Marketing_geral,App,2022-03-08,Atalaia,Alagoas,BRL,1,6,"16,67%","0,03","0,03","0,00", --,"0,00%"
